Home,Home
"Go to Home Page","Go to Home Page"
"We can't find a page for default store view.","We can't find a page for default store view."
"We can't find a store.","We can't find a store."
"Could not save the locationList: %1","Could not save the locationList: %1"
"Could not delete the locationList: %1","Could not delete the locationList: %1"
Grid,Grid
List,List
"-- Please Select --","-- Please Select --"
Empty,Empty
"1 column","1 column"
"2 columns with left bar","2 columns with left bar"
"2 columns with right bar","2 columns with right bar"
"3 columns","3 columns"
"Store Address","Store Address"
"Store Name","Store Name"
"Store Code","Store Code"
Country,Country
Region,Region
City,City
"Location Pages","Location Pages"
View,View
"Get direction","Get direction"
"Store description","Store description"
"Instagram icon","Instagram icon"
"Facebook icon","Facebook icon"
"Whatsapp icon","Whatsapp icon"
"Skype icon","Skype icon"
Hours,Hours
Closed,Closed
"Lunch time","Lunch time"
"In Stock","In Stock"
"Out Of Stock","Out Of Stock"
"Store Pages","Store Pages"
"Base Path","Base Path"
"If empty, 'stores' will be used.","If empty, 'stores' will be used."
"Store URL Path","Store URL Path"
"Store URL Key","Store URL Key"
"Create Redirect From Old Urls","Create Redirect From Old Urls"
"If enabled, redirect from old page url to new will be created for each store every time when settings 'Base Path', 'Store URL Path', 'Store URL Key' changed.","If enabled, redirect from old page url to new will be created for each store every time when settings 'Base Path', 'Store URL Path', 'Store URL Key' changed."
"Add Breadcrumbs","Add Breadcrumbs"
"Show Products On Store Page","Show Products On Store Page"
"If enabled, the available products will be shown on the store page.","If enabled, the available products will be shown on the store page."
Layout,Layout
"Include Navigation","Include Navigation"
"Display Mode","Display Mode"
"Default Product Listing Sort By","Default Product Listing Sort By"
"Default Meta Robots","Default Meta Robots"
"Add to Sitemap","Add to Sitemap"
"This setting is activated if %1 or %2 is installed.","This setting is activated if %1 or %2 is installed."
"Country, Region, City Pages","Country, Region, City Pages"
"Meta Robots","Meta Robots"
"Meta Title","Meta Title"
"Use %1 to add current page name","Use %1 to add current page name"
"Meta Description","Meta Description"
"Use %1 to add current page name. Maximum 255 chars. Meta Description should optimally be between 150-160 characters","Use %1 to add current page name. Maximum 255 chars. Meta Description should optimally be between 150-160 characters"
"Meta Keywords","Meta Keywords"
